serhis_hbdist,hislg_hbdist_toreflig,hisacid_hbdist,oxh1_hbdist_toreflig,oxh2_hbdist_toreflig,serhis_angleA,serhis_angleB,hislg_angleB_toreflig,hislg_angleA_toreflig,ser_chi,ser_chi_ref,serhis_dihedralB,hislg_dihedralA_toreflig,ser_sc_rmsd_toref,his_sc_rmsd_toref,acid_sc_rmsd_toref,serOG_unc,hisNE2_unc,hisND1_unc,acidOXY_unc,oxh1DON_unc,oxh2DON_unc,is_hbond_ser-his,is_hbond_his-lgref,is_hbond_oxh1-oxref,is_hbond_oxh2-oxref,is_hbond_his-asp,fape,lddt,rmsd,kabsch,prmsd,plddt,plddt_pde,oxh1_angleA_toreflig,oxh1_angleB_toreflig,oxh1_dihedralB_toreflig,oxh2_angleA_toreflig,oxh2_angleB_toreflig,oxh2_dihedralB_toreflig,hisacid_angleA,hisacid_angleB,hisacid_dihedralA,hisacid_dihedralB,pdb,ref,step,csv,i,label
3.069,2.714,2.888,2.729,2.432,112.059,87.16,103.665,137.263,-69.457,-63.828,-170.037,-162.765,0.177,1.478,0.21,0.84,0.69,0.86,0.42,0.08,0.97,True,True,True,True,True,0.9756048321723938,0.9746932983398438,0.5667808055877686,0.5560495257377625,0.8078039288520813,0.9832173585891724,0.9548170566558838,109.937,100.525,136.176,126.018,136.068,12.97,103.088,115.821,-162.583,-143.634,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,23,super_af2_mu2
3.129,2.671,2.864,2.78,2.419,113.566,88.999,104.532,136.814,-69.257,-63.828,-168.913,-165.491,0.116,1.473,0.193,0.84,0.65,0.8,0.41,0.08,1.01,True,True,True,True,True,0.8417115807533264,0.9787082076072692,0.4429188668727875,0.4377742111682892,0.8041051626205444,0.9811304807662964,0.9558193683624268,112.169,97.541,139.052,127.191,137.806,16.009,105.532,116.946,-165.121,-146.047,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,24,super_af2_mu2
3.097,2.649,2.862,2.814,2.396,110.405,88.565,101.703,139.384,-68.674,-63.828,-170.657,-162.079,0.101,1.488,0.179,0.95,0.61,0.75,0.4,0.08,1.02,True,True,True,True,True,0.9068595170974731,0.9747942090034484,0.5071598291397095,0.4971590042114258,0.8015850186347961,0.982069492340088,0.9543623924255372,112.127,97.592,136.263,126.293,137.514,20.528,105.921,115.771,-163.395,-145.969,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,25,super_af2_mu2
3.12,2.714,2.832,2.765,2.36,111.086,87.056,102.288,137.37,-68.253,-63.828,-170.981,-161.568,0.141,1.493,0.124,0.91,0.68,0.86,0.48,0.08,1.01,True,True,True,True,True,1.0828269720077517,0.956064999103546,0.7516573071479797,0.7422816753387451,0.8196470141410828,0.979982614517212,0.9563311338424684,111.641,99.188,135.256,125.893,137.699,14.633,106.931,115.564,-162.9,-145.502,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,26,super_af2_mu2
3.09,2.612,2.842,2.798,2.383,110.383,87.897,103.532,137.115,-68.887,-63.828,-170.46,-165.178,0.085,1.479,0.249,0.85,0.64,0.79,0.42,0.08,0.97,True,True,True,True,True,0.8537995219230652,0.981055498123169,0.4211337566375732,0.4154232740402221,0.8218268156051636,0.9802956581115724,0.9519470930099488,111.699,96.08,135.868,126.594,137.37,23.302,105.014,117.933,-164.756,-143.194,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,27,super_af2_mu2
3.156,2.671,2.883,2.758,2.401,105.727,88.103,103.358,137.028,-69.263,-63.828,-173.141,-162.71,0.199,1.479,0.178,0.94,0.61,0.75,0.42,0.08,1.01,True,True,True,True,True,0.8756406307220459,0.980620801448822,0.4570565521717071,0.4516472518444061,0.8244707584381104,0.9792174100875854,0.952067255973816,111.999,96.183,134.781,126.737,137.973,20.293,107.051,113.405,-163.239,-146.052,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,28,super_af2_mu2
3.074,2.621,2.824,2.808,2.334,111.447,84.881,102.223,137.569,-68.17,-63.828,-169.746,-162.191,0.163,1.49,0.209,0.9,0.58,0.69,0.4,0.08,1.0,True,True,True,True,True,0.8522089719772339,0.9772659540176392,0.472440630197525,0.4675624370574951,0.8300060033798218,0.9809912443161012,0.9523090124130248,110.867,100.238,136.08,126.852,137.429,6.491,108.1,114.589,-164.448,-148.14,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,29,super_af2_mu2
3.137,2.608,2.761,2.786,2.405,109.736,84.964,104.248,135.066,-68.566,-63.828,-171.799,-165.6,0.109,1.481,0.254,0.85,0.56,0.67,0.4,0.08,1.02,True,True,True,True,True,0.8921886682510376,0.9768434166908264,0.5229031443595886,0.5188080668449402,0.8259971737861633,0.9807825684547424,0.953563630580902,112.255,97.319,135.947,127.803,138.612,27.011,107.244,119.034,-164.184,-145.96,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,30,super_af2_mu2
3.174,2.632,2.889,2.809,2.41,112.403,84.124,106.44,134.458,-69.604,-63.828,-170.126,-166.566,0.147,1.464,0.267,0.91,0.69,0.89,0.4,0.08,1.04,True,True,True,True,True,0.9161965250968932,0.975728452205658,0.5397946238517761,0.5306194424629211,0.8073691725730896,0.9819304347038268,0.9557640552520752,110.607,99.39,136.71,125.439,135.273,18.392,101.993,122.92,-164.813,-142.243,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,31,super_af2_mu2
3.126,2.644,2.839,2.805,2.375,113.708,86.49,104.442,136.114,-68.544,-63.828,-169.048,-165.737,0.131,1.472,0.237,0.84,0.63,0.79,0.43,0.08,0.95,True,True,True,True,True,0.9096514582633972,0.9748771786689758,0.5134394764900208,0.508501410484314,0.8046141862869263,0.9815130829811096,0.9558889865875244,111.713,99.149,138.667,126.523,137.821,9.133,104.668,117.654,-163.685,-144.273,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,32,super_af2_mu2
3.141,2.694,2.87,2.792,2.546,110.664,85.436,103.645,136.688,-69.204,-63.828,-170.616,-163.479,0.168,1.479,0.147,0.94,0.6,0.74,0.43,0.08,1.0,True,True,True,True,True,0.8247188925743103,0.979969084262848,0.4101226031780243,0.4065459966659546,0.8242893815040588,0.9798434376716614,0.9529553651809692,111.007,99.616,135.399,124.9,133.107,32.488,106.769,113.6,-163.868,-145.825,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,33,super_af2_mu2
3.079,2.656,2.867,2.715,2.442,111.53,88.562,102.634,136.309,-68.056,-63.828,-169.17,-159.058,0.104,1.483,0.25,0.84,0.6,0.71,0.41,0.08,0.97,True,True,True,True,True,0.8013149499893188,0.9819029569625854,0.4141782820224762,0.4082943499088287,0.8232691287994385,0.980573832988739,0.9528006911277772,112.211,97.455,137.401,126.088,137.42,20.652,105.758,116.816,-163.655,-147.551,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,34,super_af2_mu2
3.103,3.227,5.173,2.798,2.373,105.95,90.679,94.681,41.769,-68.619,-63.828,175.844,175.963,0.186,0.174,0.265,1.09,1.05,1.25,0.44,0.08,0.95,True,False,True,True,False,0.8461670875549316,0.981928050518036,0.51325923204422,0.5067942142486572,0.8147847056388855,0.9787999391555786,0.9543440937995912,111.887,99.714,134.457,125.558,136.384,14.251,78.234,123.856,8.963,-144.821,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,35,super_af2_mu2
3.07,2.647,2.834,2.776,2.42,111.676,88.805,102.846,138.133,-67.939,-63.828,-170.154,-163.788,0.077,1.481,0.153,0.85,0.61,0.72,0.4,0.08,0.94,True,True,True,True,True,0.8748138546943665,0.9781541228294371,0.4587565064430237,0.451168030500412,0.8066537976264954,0.9807476997375488,0.9544918537139891,111.607,97.971,137.008,125.545,136.012,18.238,106.825,115.397,-163.675,-146.055,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,36,super_af2_mu2
3.145,2.608,2.843,2.83,2.354,108.459,84.666,102.912,136.761,-69.398,-63.828,-170.817,-161.246,0.164,1.482,0.2,0.91,0.59,0.7,0.4,0.08,0.99,True,True,True,True,True,0.857018768787384,0.9802101254463196,0.4669060409069061,0.4600833356380462,0.8102006316184998,0.98085218667984,0.9550909399986268,111.645,97.996,134.868,127.717,138.924,14.072,107.341,115.674,-163.521,-146.355,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,37,super_af2_mu2
3.073,2.622,2.847,2.731,2.448,110.131,88.985,103.157,138.094,-67.938,-63.828,-171.294,-163.83,0.101,1.478,0.213,0.88,0.62,0.75,0.39,0.08,0.99,True,True,True,True,True,0.9779607057571412,0.9716410040855408,0.5379083156585693,0.5345699191093445,0.8248365521430969,0.9795652627944946,0.9528072476387024,112.368,97.431,136.493,126.3,136.394,24.23,104.931,117.686,-163.957,-144.913,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,38,super_af2_mu2
3.077,2.618,2.82,2.754,2.289,112.056,86.821,103.324,136.124,-68.267,-63.828,-169.184,-163.047,0.083,1.482,0.317,0.8,0.63,0.75,0.41,0.08,1.05,True,True,True,True,True,0.9483532309532166,0.9745333790779114,0.5432586073875427,0.5330583453178406,0.8246963024139404,0.97695654630661,0.9535956978797911,111.891,97.818,137.332,126.349,137.963,25.914,104.193,118.543,-163.537,-142.362,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,39,super_af2_mu2
3.054,2.7,2.851,2.765,2.406,111.999,87.83,102.848,137.452,-68.222,-63.828,-170.114,-161.465,0.143,1.482,0.226,0.88,0.59,0.7,0.4,0.08,0.98,True,True,True,True,True,1.0185776948928833,0.9716535210609436,0.5579788684844971,0.5515772700309753,0.810904324054718,0.9807478189468384,0.9540859460830688,110.212,99.982,136.98,124.914,134.833,23.866,106.837,112.984,-162.224,-147.331,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,40,super_af2_mu2
3.111,2.639,2.877,2.771,2.341,110.117,87.1,103.26,137.411,-68.315,-63.828,-171.443,-162.572,0.122,1.474,0.247,0.92,0.65,0.82,0.42,0.08,0.95,True,True,True,True,True,0.8645163178443909,0.977496862411499,0.4586771726608276,0.4518493413925171,0.8091335296630859,0.9808868765830994,0.9547359347343444,111.663,98.128,135.188,126.09,136.645,10.027,103.418,118.97,-162.642,-143.224,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,41,super_af2_mu2
3.154,2.614,2.842,2.781,2.353,109.933,82.854,105.393,132.991,-68.515,-63.828,-170.334,-163.696,0.13,1.47,0.407,0.86,0.7,0.91,0.4,0.08,1.01,True,True,True,True,True,0.8321099281311035,0.9797727465629578,0.4280769228935241,0.424012154340744,0.8065103888511658,0.9816869497299194,0.9542560577392578,110.91,98.995,136.269,125.89,136.208,6.391,102.24,123.914,-163.266,-140.977,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,42,super_af2_mu2
